top10_model_rank,top10_model,points_model_rank,points_model,season,known_race_count,remaining_race_count,driver_points_mae,constructor_points_mae,combined_points_mae,driver_champion_actual,driver_champion_predicted,driver_champion_hit,constructor_champion_actual,constructor_champion_predicted,constructor_champion_hit,driver_top3_overlap,constructor_top3_overlap,deterministic_driver_winner_count,max_driver_winner_share,winner_distribution,avg_winner_runner_up_score_gap,calibration_train_end_season,calibration_season
2,lightgbm_classifier,2,ridge_regression,2023,5,17,38.090909,83.600000,60.845455,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,3,2,1,1.000000,{'Max Verstappen': 17},0.040531,2021,2022
2,lightgbm_classifier,2,ridge_regression,2024,5,19,45.083333,104.200000,74.641667,Max Verstappen,Max Verstappen,1,McLaren,Red Bull,0,2,2,1,1.000000,{'Max Verstappen': 19},0.065649,2022,2023
2,lightgbm_classifier,2,ridge_regression,2025,5,19,40.095238,76.000000,58.047619,Lando Norris,Oscar Piastri,0,McLaren,McLaren,1,3,2,1,1.000000,{'Oscar Piastri': 19},0.052465,2023,2024
2,lightgbm_classifier,3,catboost_regressor,2022,5,17,26.545455,57.400000,41.972727,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,3,3,3,0.764706,"{'Charles Leclerc': 3, 'Max Verstappen': 13, 'Sergio Pérez': 1}",0.033522,2020,2021
2,lightgbm_classifier,3,catboost_regressor,2023,5,17,42.363636,93.200000,67.781818,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,2,2,1,1.000000,{'Max Verstappen': 17},0.044220,2021,2022
2,lightgbm_classifier,3,catboost_regressor,2024,5,19,57.166667,136.600000,96.883333,Max Verstappen,Max Verstappen,1,McLaren,Red Bull,0,2,3,1,1.000000,{'Max Verstappen': 19},0.065649,2022,2023
2,lightgbm_classifier,3,catboost_regressor,2025,5,19,35.809524,65.200000,50.504762,Lando Norris,Oscar Piastri,0,McLaren,McLaren,1,3,3,1,1.000000,{'Oscar Piastri': 19},0.050526,2023,2024
2,lightgbm_classifier,4,hist_gradient_boosting_regressor,2022,5,17,27.363636,52.600000,39.981818,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,2,3,2,0.941176,"{'Lewis Hamilton': 1, 'Max Verstappen': 16}",0.033839,2020,2021
2,lightgbm_classifier,4,hist_gradient_boosting_regressor,2023,5,17,38.909091,85.200000,62.054545,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,2,2,2,0.882353,"{'Lewis Hamilton': 2, 'Max Verstappen': 15}",0.041991,2021,2022
2,lightgbm_classifier,4,hist_gradient_boosting_regressor,2024,5,19,61.416667,144.600000,103.008333,Max Verstappen,Max Verstappen,1,McLaren,Red Bull,0,2,3,2,0.947368,"{'Charles Leclerc': 1, 'Max Verstappen': 18}",0.065071,2022,2023
2,lightgbm_classifier,4,hist_gradient_boosting_regressor,2025,5,19,32.761905,65.200000,48.980952,Lando Norris,Oscar Piastri,0,McLaren,McLaren,1,3,3,3,0.526316,"{'Lando Norris': 8, 'Max Verstappen': 1, 'Oscar Piastri': 10}",0.050254,2023,2024
2,lightgbm_classifier,5,xgboost_regressor,2022,5,17,25.636364,51.000000,38.318182,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,3,3,3,0.647059,"{'Charles Leclerc': 3, 'Max Verstappen': 11, 'Sergio Pérez': 3}",0.034406,2020,2021
2,lightgbm_classifier,5,xgboost_regressor,2023,5,17,39.181818,80.000000,59.590909,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,3,2,3,0.647059,"{'Lewis Hamilton': 4, 'Max Verstappen': 11, 'Sergio Pérez': 2}",0.040079,2021,2022
