experiment_id,season,known_race_count,remaining_race_count,online_repeat_count,form_boost_alpha,driver_points_mae,constructor_points_mae,combined_points_mae,short_history_driver_count,short_history_driver_mae,short_form_driver_count,short_form_driver_mae,driver_champion_actual,driver_champion_predicted,driver_champion_hit,constructor_champion_actual,constructor_champion_predicted,constructor_champion_hit,driver_top3_overlap,constructor_top3_overlap
online0_boost0.03,2025,5,19,0,0.0300,43.428571,76.600000,60.014286,7,35.571429,1,44.000000,norris,max_verstappen,0,mclaren,mclaren,1,3,2
online0_boost0.06,2025,5,19,0,0.0600,43.714286,75.800000,59.757143,7,36.571429,1,47.000000,norris,max_verstappen,0,mclaren,mclaren,1,3,2
online0_boost0.10,2025,5,19,0,0.1000,44.857143,64.600000,54.728571,7,46.000000,1,47.000000,norris,max_verstappen,0,mclaren,mclaren,1,3,3
online1_boost0.00,2025,5,19,1,0.0000,45.333333,85.000000,65.166667,7,30.142857,1,51.000000,norris,max_verstappen,0,mclaren,mclaren,1,3,2
online1_boost0.03,2025,5,19,1,0.0300,45.333333,85.000000,65.166667,7,29.857143,1,51.000000,norris,max_verstappen,0,mclaren,mclaren,1,3,2
online1_boost0.06,2025,5,19,1,0.0600,45.333333,85.000000,65.166667,7,29.857143,1,51.000000,norris,max_verstappen,0,mclaren,mclaren,1,3,2
online1_boost0.10,2025,5,19,1,0.1000,45.333333,83.600000,64.466667,7,30.571429,1,58.000000,norris,max_verstappen,0,mclaren,mclaren,1,3,2
online3_boost0.00,2025,5,19,3,0.0000,39.047619,74.600000,56.823810,7,45.285714,1,179.000000,norris,piastri,0,mclaren,mclaren,1,3,2
online3_boost0.03,2025,5,19,3,0.0300,39.047619,74.200000,56.623810,7,45.571429,1,179.000000,norris,piastri,0,mclaren,mclaren,1,3,2
online3_boost0.06,2025,5,19,3,0.0600,39.047619,73.000000,56.023810,7,47.428571,1,186.000000,norris,piastri,0,mclaren,mclaren,1,3,2
online3_boost0.10,2025,5,19,3,0.1000,39.047619,73.000000,56.023810,7,47.428571,1,186.000000,norris,piastri,0,mclaren,mclaren,1,3,2
