rank,model_family,feature_mode,model,composite_score_100,f1,roc_auc,race_top3_precision,precision,recall,ranking_score_100,mean_map_at_3,mean_ndcg_at_3,exact_podium_set_rate
1,Deep Learning,post_qualifying,tabnet_neural_network,81.264225,0.763158,0.947703,0.777778,0.725000,0.805556,,,,
2,Advanced ML,post_qualifying,catboost,80.214400,0.753247,0.948881,0.750000,0.707317,0.805556,67.433245,0.678241,0.769089,0.333333
3,Advanced ML,post_qualifying,xgboost,80.085495,0.758621,0.945536,0.736111,0.753425,0.763889,65.027915,0.652778,0.742783,0.291667
4,Advanced ML,post_qualifying,lightgbm,78.926160,0.737589,0.945195,0.736111,0.753623,0.722222,66.454940,0.685185,0.767457,0.291667
5,Traditional ML,post_qualifying,calibrated_random_forest,78.726310,0.739394,0.945980,0.708333,0.655914,0.847222,,,,
6,Traditional ML,post_qualifying,hist_gradient_boosting,78.654145,0.735484,0.947345,0.722222,0.686747,0.791667,,,,
7,Advanced ML,post_qualifying,stacking_ensemble,78.491825,0.733728,0.945673,0.708333,0.639175,0.861111,64.525460,0.664352,0.750000,0.291667
8,Traditional ML,post_qualifying,random_forest,78.401045,0.738095,0.944376,0.694444,0.645833,0.861111,,,,
9,Traditional ML,post_qualifying,logistic_regression,77.242535,0.727273,0.931682,0.694444,0.682927,0.777778,,,,
10,Traditional ML,post_qualifying,extra_trees,74.302400,0.683871,0.931477,0.666667,0.638554,0.736111,,,,
11,Deep Learning,pre_race,tabnet_neural_network,71.523545,0.649351,0.907948,0.652778,0.609756,0.694444,,,,
12,Traditional ML,pre_race,logistic_regression,70.790805,0.627027,0.904040,0.652778,0.513274,0.805556,,,,
13,Deep Learning,post_qualifying,upgraded_mlp_neural_network,70.443930,0.632258,0.913118,0.638889,0.590361,0.680556,,,,
14,Traditional ML,pre_race,random_forest,70.068715,0.646707,0.903324,0.583333,0.568421,0.750000,,,,
15,Traditional ML,pre_race,hist_gradient_boosting,69.994780,0.620690,0.899570,0.611111,0.480916,0.875000,,,,
16,Traditional ML,pre_race,extra_trees,69.478090,0.625641,0.899297,0.583333,0.495935,0.847222,,,,
17,Traditional ML,pre_race,calibrated_random_forest,69.429425,0.632184,0.904211,0.583333,0.539216,0.763889,,,,
18,Deep Learning,pre_race,upgraded_mlp_neural_network,57.488940,0.483221,0.869369,0.458333,0.467532,0.500000,,,,
