feature_mode,model,epoch,training_loss,validation_score
post_qualifying,upgraded_mlp_neural_network,97,0.015101,0.959302
post_qualifying,upgraded_mlp_neural_network,98,0.020796,0.959302
post_qualifying,upgraded_mlp_neural_network,99,0.019153,0.955540
post_qualifying,upgraded_mlp_neural_network,100,0.010561,0.965800
post_qualifying,upgraded_mlp_neural_network,101,0.007857,0.962380
post_qualifying,upgraded_mlp_neural_network,102,0.007398,0.962722
post_qualifying,upgraded_mlp_neural_network,103,0.006641,0.957592
post_qualifying,upgraded_mlp_neural_network,104,0.009234,0.960670
post_qualifying,upgraded_mlp_neural_network,105,0.010275,0.962722
post_qualifying,upgraded_mlp_neural_network,106,0.015378,0.948700
post_qualifying,upgraded_mlp_neural_network,107,0.025433,0.952462
post_qualifying,upgraded_mlp_neural_network,108,0.013589,0.954856
post_qualifying,upgraded_mlp_neural_network,109,0.020000,0.965458
post_qualifying,upgraded_mlp_neural_network,110,0.010223,0.962380
post_qualifying,upgraded_mlp_neural_network,111,0.006650,0.963064
post_qualifying,upgraded_mlp_neural_network,112,0.006185,0.962722
post_qualifying,upgraded_mlp_neural_network,113,0.005732,0.962722
post_qualifying,upgraded_mlp_neural_network,114,0.005893,0.963064
post_qualifying,upgraded_mlp_neural_network,115,0.006467,0.960328
post_qualifying,upgraded_mlp_neural_network,116,0.005762,0.960670
post_qualifying,upgraded_mlp_neural_network,117,0.006322,0.961354
post_qualifying,upgraded_mlp_neural_network,118,0.011376,0.963406
post_qualifying,upgraded_mlp_neural_network,119,0.038723,0.962380
post_qualifying,upgraded_mlp_neural_network,120,0.015763,0.959986
post_qualifying,upgraded_mlp_neural_network,121,0.008385,0.958618
post_qualifying,upgraded_mlp_neural_network,122,0.007281,0.959644
post_qualifying,upgraded_mlp_neural_network,123,0.005971,0.965116
post_qualifying,upgraded_mlp_neural_network,124,0.005988,0.965800
post_qualifying,upgraded_mlp_neural_network,125,0.005997,0.961354
post_qualifying,upgraded_mlp_neural_network,126,0.005489,0.963406
post_qualifying,upgraded_mlp_neural_network,127,0.006186,0.963748
post_qualifying,upgraded_mlp_neural_network,128,0.013578,0.956908
post_qualifying,upgraded_mlp_neural_network,129,0.029746,0.955882
post_qualifying,upgraded_mlp_neural_network,130,0.013784,0.964432
post_qualifying,upgraded_mlp_neural_network,131,0.006903,0.962722
post_qualifying,upgraded_mlp_neural_network,132,0.006041,0.962722
